,District,Pincode,No of Registered User,Year,state,Quater
443,tumakuru,0,618091,2020,karnataka,Q3
444,dakshina kannada,0,617552,2020,karnataka,Q3
445,dharwad,0,608659,2020,karnataka,Q3
446,ballari,0,595935,2020,karnataka,Q3
447,bengaluru rural,0,543893,2020,karnataka,Q3
448,kalaburagi,0,507894,2020,karnataka,Q3
449,vijayapura,0,458119,2020,karnataka,Q3
450,null,560068,373446,2020,karnataka,Q3
451,null,560078,265627,2020,karnataka,Q3
452,null,560076,252246,2020,karnataka,Q3
453,null,560100,223235,2020,karnataka,Q3
454,null,560037,220131,2020,karnataka,Q3
455,null,560043,218963,2020,karnataka,Q3
456,null,560058,215047,2020,karnataka,Q3
457,null,560091,214608,2020,karnataka,Q3
458,null,560064,195179,2020,karnataka,Q3
459,null,560079,193680,2020,karnataka,Q3
460,bengaluru urban,0,9286243,2020,karnataka,Q4
461,belagavi,0,1051934,2020,karnataka,Q4
462,mysuru,0,1015945,2020,karnataka,Q4
463,dakshina kannada,0,690826,2020,karnataka,Q4
464,tumakuru,0,682441,2020,karnataka,Q4
465,dharwad,0,663973,2020,karnataka,Q4
466,ballari,0,654751,2020,karnataka,Q4
467,bengaluru rural,0,593872,2020,karnataka,Q4
468,kalaburagi,0,559718,2020,karnataka,Q4
469,vijayapura,0,504403,2020,karnataka,Q4
470,null,560068,399638,2020,karnataka,Q4
471,null,560078,285544,2020,karnataka,Q4
472,null,560076,270449,2020,karnataka,Q4
473,null,560100,237850,2020,karnataka,Q4
474,null,560043,237440,2020,karnataka,Q4
475,null,560037,232436,2020,karnataka,Q4
476,null,560091,232398,2020,karnataka,Q4
477,null,560058,232252,2020,karnataka,Q4
478,null,560064,211036,2020,karnataka,Q4
479,null,560079,208938,2020,karnataka,Q4
480,bengaluru urban,0,9955387,2021,karnataka,Q1
481,belagavi,0,1132987,2021,karnataka,Q1
482,mysuru,0,1094627,2021,karnataka,Q1
483,dakshina kannada,0,746964,2021,karnataka,Q1
484,tumakuru,0,736609,2021,karnataka,Q1
485,dharwad,0,714056,2021,karnataka,Q1
486,ballari,0,705364,2021,karnataka,Q1
487,bengaluru rural,0,639890,2021,karnataka,Q1
488,kalaburagi,0,602937,2021,karnataka,Q1
489,vijayapura,0,543181,2021,karnataka,Q1
490,null,560068,427525,2021,karnataka,Q1
491,null,560078,305721,2021,karnataka,Q1
492,null,560076,289205,2021,karnataka,Q1
493,null,560043,254510,2021,karnataka,Q1
494,null,560100,253914,2021,karnataka,Q1
495,null,560091,249839,2021,karnataka,Q1
496,null,560058,249624,2021,karnataka,Q1
497,null,560037,247595,2021,karnataka,Q1
498,null,560064,226588,2021,karnataka,Q1
499,null,560079,223844,2021,karnataka,Q1
500,bengaluru urban,0,10604609,2021,karnataka,Q2
501,belagavi,0,1213293,2021,karnataka,Q2
502,mysuru,0,1168608,2021,karnataka,Q2
503,dakshina kannada,0,798331,2021,karnataka,Q2
504,tumakuru,0,790148,2021,karnataka,Q2
505,dharwad,0,763441,2021,karnataka,Q2
506,ballari,0,755860,2021,karnataka,Q2
507,bengaluru rural,0,684759,2021,karnataka,Q2
508,kalaburagi,0,645639,2021,karnataka,Q2
509,vijayapura,0,582278,2021,karnataka,Q2
510,null,560068,455417,2021,karnataka,Q2
511,null,560078,325334,2021,karnataka,Q2
512,null,560076,307509,2021,karnataka,Q2
513,null,560043,270730,2021,karnataka,Q2
514,null,560100,270219,2021,karnataka,Q2
515,null,560091,266790,2021,karnataka,Q2
516,null,560058,266718,2021,karnataka,Q2
517,null,560037,263129,2021,karnataka,Q2
518,null,560064,241325,2021,karnataka,Q2
519,null,560079,238441,2021,karnataka,Q2
520,bengaluru urban,0,11321012,2021,karnataka,Q3
521,belagavi,0,1304051,2021,karnataka,Q3
522,mysuru,0,1250860,2021,karnataka,Q3
523,dakshina kannada,0,855634,2021,karnataka,Q3
524,tumakuru,0,850678,2021,karnataka,Q3
525,dharwad,0,818797,2021,karnataka,Q3
526,ballari,0,814170,2021,karnataka,Q3
527,bengaluru rural,0,735551,2021,karnataka,Q3
528,kalaburagi,0,694567,2021,karnataka,Q3
529,vijayapura,0,627795,2021,karnataka,Q3
530,null,560068,486170,2021,karnataka,Q3
531,null,560078,346840,2021,karnataka,Q3
532,null,560076,327691,2021,karnataka,Q3
533,null,560043,288657,2021,karnataka,Q3
534,null,560100,288418,2021,karnataka,Q3
535,null,560058,285746,2021,karnataka,Q3
536,null,560091,285428,2021,karnataka,Q3
537,null,560037,280067,2021,karnataka,Q3
538,null,560064,257630,2021,karnataka,Q3
539,null,560079,254553,2021,karnataka,Q3
540,bengaluru urban,0,12038775,2021,karnataka,Q4
541,belagavi,0,1393290,2021,karnataka,Q4
542,mysuru,0,1332579,2021,karnataka,Q4
543,dakshina kannada,0,912133,2021,karnataka,Q4
544,tumakuru,0,909976,2021,karnataka,Q4
545,dharwad,0,873847,2021,karnataka,Q4
546,ballari,0,871581,2021,karnataka,Q4
547,bengaluru rural,0,785717,2021,karnataka,Q4
548,kalaburagi,0,743146,2021,karnataka,Q4
549,vijayapura,0,672340,2021,karnataka,Q4
550,null,560068,517115,2021,karnataka,Q4
551,null,560078,368213,2021,karnataka,Q4
552,null,560076,347942,2021,karnataka,Q4
553,null,560100,306734,2021,karnataka,Q4
554,null,560043,306658,2021,karnataka,Q4
555,null,560058,304867,2021,karnataka,Q4
556,null,560091,304250,2021,karnataka,Q4
557,null,560037,297179,2021,karnataka,Q4
558,null,560064,273886,2021,karnataka,Q4
559,null,560079,270655,2021,karnataka,Q4
560,bengaluru urban,0,12707664,2022,karnataka,Q1
561,belagavi,0,1477767,2022,karnataka,Q1
562,mysuru,0,1410095,2022,karnataka,Q1
563,tumakuru,0,966743,2022,karnataka,Q1
564,dakshina kannada,0,965225,2022,karnataka,Q1
565,ballari,0,926458,2022,karnataka,Q1
566,dharwad,0,925787,2022,karnataka,Q1
567,bengaluru rural,0,833284,2022,karnataka,Q1
568,kalaburagi,0,788989,2022,karnataka,Q1
569,vijayapura,0,714643,2022,karnataka,Q1
570,null,560068,545827,2022,karnataka,Q1
571,null,560078,388154,2022,karnataka,Q1
572,null,560076,366934,2022,karnataka,Q1
573,null,560100,323960,2022,karnataka,Q1
574,null,560043,323435,2022,karnataka,Q1
575,null,560058,322689,2022,karnataka,Q1
576,null,560091,321685,2022,karnataka,Q1
577,null,560037,313105,2022,karnataka,Q1
578,null,560064,289243,2022,karnataka,Q1
579,null,560079,285716,2022,karnataka,Q1
580,bengaluru urban,0,13342916,2022,karnataka,Q2
581,belagavi,0,1556041,2022,karnataka,Q2
582,mysuru,0,1482427,2022,karnataka,Q2
