,District,Type,Count,Amount,Year,state,Quater
299,koppal district,TOTAL,1133585,2209262842.6267776,2020,karnataka,Q1
300,bidar district,TOTAL,1808853,3723442388.449338,2020,karnataka,Q1
301,bengaluru rural district,TOTAL,5260930,7794174929.658327,2020,karnataka,Q1
302,raichur district,TOTAL,1924790,3941437359.341171,2020,karnataka,Q1
303,chamarajanagara district,TOTAL,553272,1029877709.8243908,2020,karnataka,Q1
304,dakshina kannada district,TOTAL,4233207,7157456163.571186,2020,karnataka,Q1
305,hassan district,TOTAL,1812274,3716555553.1742363,2020,karnataka,Q1
306,dharwad district,TOTAL,5171963,6715983685.589501,2020,karnataka,Q1
307,shivamogga district,TOTAL,2394183,4229300190.9267178,2020,karnataka,Q1
308,udupi district,TOTAL,1399840,1843787355.1339335,2020,karnataka,Q1
309,gadag district,TOTAL,893359,1511707695.3671956,2020,karnataka,Q1
310,mysuru district,TOTAL,7184930,13106859536.057842,2020,karnataka,Q2
311,chitradurga district,TOTAL,2118154,3711671026.847204,2020,karnataka,Q2
312,kalaburagi district,TOTAL,3019911,6189980486.812849,2020,karnataka,Q2
313,ramanagara district,TOTAL,2814041,4746064695.43483,2020,karnataka,Q2
314,mandya district,TOTAL,2804235,5215911416.961924,2020,karnataka,Q2
315,kodagu district,TOTAL,640336,1015841839.584493,2020,karnataka,Q2
316,chikkamagaluru district,TOTAL,1376548,2254645075.4632063,2020,karnataka,Q2
317,haveri district,TOTAL,1232235,2208795764.1573615,2020,karnataka,Q2
318,ballari district,TOTAL,4733742,8629333001.029207,2020,karnataka,Q2
319,belagavi district,TOTAL,4972764,8395766920.028916,2020,karnataka,Q2
320,kolar district,TOTAL,3965696,6790159344.716665,2020,karnataka,Q2
321,uttara kannada district,TOTAL,1401701,1912236201.3327289,2020,karnataka,Q2
322,tumakuru district,TOTAL,4836880,8510119360.526954,2020,karnataka,Q2
323,yadgir district,TOTAL,996282,2425403532.336086,2020,karnataka,Q2
324,bengaluru urban district,TOTAL,132120979,176357097466.7659,2020,karnataka,Q2
325,chikkaballapura district,TOTAL,2650503,4966625322.511406,2020,karnataka,Q2
326,davanagere district,TOTAL,3025086,5508343020.299786,2020,karnataka,Q2
327,bagalkote district,TOTAL,2110909,4002269578.8099203,2020,karnataka,Q2
328,vijayapura district,TOTAL,2779449,5624135328.809127,2020,karnataka,Q2
329,koppal district,TOTAL,1520618,2917566000.1891146,2020,karnataka,Q2
